Day,Confirmed,Deaths,Recovered,Active
2020-01-27,1,0,0,1
2020-01-28,1,0,0,1
2020-01-29,1,0,0,1
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,1,0,0,1
2020-02-03,1,0,0,1
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,1,0,1,0
2020-02-09,1,0,1,0
2020-02-10,1,0,1,0
2020-02-11,1,0,1,0
2020-02-12,1,0,1,0
2020-02-13,1,0,1,0
2020-02-14,1,0,1,0
2020-02-15,1,0,1,0
2020-02-16,1,0,1,0
2020-02-17,1,0,1,0
2020-02-18,1,0,1,0
2020-02-19,1,0,1,0
2020-02-20,1,0,1,0
2020-02-21,1,0,1,0
2020-02-22,1,0,1,0
2020-02-23,1,0,1,0
2020-02-24,1,0,1,0
2020-02-25,1,0,1,0
2020-02-26,1,0,1,0
2020-02-27,1,0,1,0
2020-02-28,1,0,1,0
2020-02-29,1,0,1,0
2020-03-01,1,0,1,0
2020-03-02,1,0,1,0
2020-03-03,1,0,1,0
2020-03-04,1,0,1,0
2020-03-05,1,0,1,0
2020-03-06,1,0,1,0
2020-03-07,1,0,1,0
2020-03-08,1,0,1,0
2020-03-09,1,0,1,0
2020-03-10,1,0,1,0
2020-03-11,2,0,1,1
2020-03-12,2,0,1,1
2020-03-13,6,0,1,5
2020-03-14,10,0,1,9
2020-03-15,18,0,1,17
2020-03-16,28,0,1,27
2020-03-17,44,0,1,43
2020-03-18,51,0,1,50
2020-03-19,60,0,3,57
2020-03-20,73,0,3,70
2020-03-21,77,0,1,76
2020-03-22,82,0,3,79
2020-03-23,97,0,2,95
2020-03-24,102,0,2,100
2020-03-25,102,0,3,99
2020-03-26,106,0,7,99
2020-03-27,106,0,7,99
2020-03-28,113,1,9,103
2020-03-29,117,1,11,105
2020-03-30,122,2,15,105
2020-03-31,143,2,17,124
2020-04-01,146,3,21,122
2020-04-02,151,4,21,126
2020-04-03,159,4,24,131
2020-04-04,166,5,27,134
2020-04-05,176,5,33,138
2020-04-06,178,5,38,135
2020-04-07,185,6,42,137
2020-04-08,189,7,44,138
2020-04-09,190,7,49,134
2020-04-10,190,7,54,129
2020-04-11,198,7,54,137
2020-04-12,210,7,56,147
2020-04-13,217,7,56,154
2020-04-14,233,7,61,165
2020-04-15,238,7,63,168
2020-04-16,238,7,68,163
2020-04-17,244,7,77,160
2020-04-18,254,7,86,161
2020-04-19,271,7,96,168
2020-04-20,304,7,98,199
2020-04-21,310,7,102,201
2020-04-22,330,7,105,218
2020-04-23,368,7,107,254
2020-04-24,420,7,109,304
2020-04-25,460,7,118,335
2020-04-26,523,7,120,396
2020-04-27,588,7,126,455
2020-04-28,619,7,134,478
2020-04-29,649,7,136,506
2020-04-30,663,7,154,502
2020-05-01,690,7,162,521
2020-05-02,705,7,172,526
2020-05-03,718,7,184,527
2020-05-04,751,8,194,549
2020-05-05,771,9,213,549
2020-05-06,797,9,215,573
2020-05-07,824,9,232,583
2020-05-08,835,9,240,586
2020-05-09,847,9,260,578
2020-05-10,863,9,321,533
2020-05-11,869,9,343,517
2020-05-12,889,9,366,514
2020-05-13,915,9,382,524
2020-05-14,925,9,445,471
2020-05-15,935,9,477,449
2020-05-16,960,9,520,431
2020-05-17,981,9,538,434
2020-05-18,992,9,559,424
2020-05-19,1027,9,569,449
2020-05-20,1028,9,584,435
2020-05-21,1055,9,604,442
2020-05-22,1068,9,620,439
2020-05-23,1089,9,660,420
2020-05-24,1141,9,674,458
2020-05-25,1182,10,695,477
2020-05-26,1319,10,712,597
2020-05-27,1469,10,732,727
2020-05-28,1530,10,745,775
2020-05-29,1558,10,754,794
2020-05-30,1620,10,781,829
