Day,Confirmed,Deaths,Recovered,Active
2020-03-14,1,0,0,1
2020-03-15,1,0,0,1
2020-03-16,1,0,0,1
2020-03-17,1,0,0,1
2020-03-18,1,0,0,1
2020-03-19,1,0,0,1
2020-03-20,1,0,0,1
2020-03-21,1,0,0,1
2020-03-22,4,0,0,4
2020-03-23,4,0,0,4
2020-03-24,4,0,0,4
2020-03-25,4,0,0,4
2020-03-26,6,0,0,6
2020-03-27,9,0,0,9
2020-03-28,9,0,0,9
2020-03-29,9,0,0,9
2020-03-30,9,0,0,9
2020-03-31,9,0,0,9
2020-04-01,9,0,0,9
2020-04-02,9,0,0,9
2020-04-03,9,0,0,9
2020-04-04,9,0,0,9
2020-04-05,9,0,0,9
2020-04-06,10,0,4,6
2020-04-07,10,0,4,6
2020-04-08,12,0,7,5
2020-04-09,12,0,7,5
2020-04-10,12,0,7,5
2020-04-11,12,0,7,5
2020-04-12,14,0,7,7
2020-04-13,15,0,7,8
2020-04-14,15,0,8,7
2020-04-15,15,0,8,7
2020-04-16,16,1,8,7
2020-04-17,16,1,8,7
2020-04-18,22,1,8,13
2020-04-19,22,1,8,13
2020-04-20,24,1,8,15
2020-04-21,31,1,8,22
2020-04-22,31,1,8,22
2020-04-23,31,1,8,22
2020-04-24,36,1,10,25
2020-04-25,56,1,10,45
2020-04-26,59,1,10,48
2020-04-27,65,1,10,54
2020-04-28,71,1,10,60
2020-04-29,91,1,10,80
2020-04-30,100,1,12,87
2020-05-01,106,1,12,93
2020-05-02,108,1,12,95
2020-05-03,112,1,12,99
2020-05-04,116,1,12,103
2020-05-05,119,1,12,106
2020-05-06,123,2,12,109
2020-05-07,153,2,12,139
2020-05-08,159,2,12,145
2020-05-09,163,2,14,147
2020-05-10,172,2,27,143
2020-05-11,175,2,28,145
2020-05-12,184,2,28,154
2020-05-13,187,2,48,137
2020-05-14,187,2,51,134
2020-05-15,190,2,66,122
2020-05-16,202,2,72,128
2020-05-17,203,2,73,128
2020-05-18,205,2,78,125
2020-05-19,208,2,87,119
2020-05-20,217,2,97,118
2020-05-21,220,2,112,106
2020-05-22,225,2,119,104
2020-05-23,238,2,119,117
2020-05-24,250,2,156,92
2020-05-25,256,2,158,96
2020-05-26,261,2,164,95
2020-05-27,272,2,168,102
2020-05-28,279,2,168,109
2020-05-29,279,2,168,109
2020-05-30,283,2,168,113
2020-05-31,285,2,189,94
2020-06-01,293,3,194,96
2020-06-02,294,3,198,93
2020-06-03,295,3,201,91
2020-06-04,300,3,201,96
2020-06-05,305,3,221,81
2020-06-06,322,3,224,95
2020-06-07,333,3,225,105
2020-06-08,340,3,229,108
2020-06-09,371,3,232,136
2020-06-10,398,3,236,159
2020-06-11,449,3,238,208
2020-06-12,472,3,246,223
2020-06-13,486,3,247,236
2020-06-14,490,4,249,237
2020-06-15,506,4,249,253
2020-06-16,520,4,259,257
2020-06-17,563,4,262,297
2020-06-18,586,4,267,315
2020-06-19,623,4,276,343
2020-06-20,627,5,285,337
2020-06-21,635,5,285,345
2020-06-22,643,6,291,346
2020-06-23,674,7,319,348
2020-06-24,690,7,331,352
2020-06-25,706,8,347,351
2020-06-26,728,8,367,353
2020-06-27,745,8,370,367
2020-06-28,781,11,372,398
2020-06-29,795,11,380,404
2020-06-30,812,11,408,393
2020-07-01,840,11,418,411
2020-07-02,873,11,452,410
2020-07-03,909,13,515,381
2020-07-04,954,13,535,406
2020-07-05,988,13,547,428
2020-07-06,1011,13,564,434
2020-07-07,1056,14,570,472
2020-07-08,1138,14,588,536
2020-07-09,1213,17,609,587
2020-07-10,1257,18,633,606
2020-07-11,1311,18,656,637
2020-07-12,1351,20,668,663
2020-07-13,1389,20,688,681
2020-07-14,1434,20,695,719
2020-07-15,1489,20,724,745
2020-07-16,1552,21,736,795
2020-07-17,1619,21,769,829
2020-07-18,1729,21,788,920
2020-07-19,1793,21,822,950
2020-07-20,1826,23,850,953
2020-07-21,1894,24,855,1015
2020-07-22,1938,25,876,1037
2020-07-23,2021,28,882,1111
2020-07-24,2073,28,929,1116
2020-07-25,2142,28,940,1174
2020-07-26,2207,32,986,1189
