Day,Confirmed,Deaths,Recovered,Active
2020-03-25,2,0,0,2
2020-03-26,4,0,0,4
2020-03-27,11,0,0,11
2020-03-28,18,0,0,18
2020-03-29,18,1,0,17
2020-03-30,25,2,0,23
2020-03-31,28,2,0,26
2020-04-01,31,3,0,28
2020-04-02,36,3,0,33
2020-04-03,39,3,0,36
2020-04-04,41,3,1,37
2020-04-05,45,5,1,39
2020-04-06,47,5,9,33
2020-04-07,56,5,12,39
2020-04-08,59,7,16,36
2020-04-09,74,7,22,45
2020-04-10,87,7,22,58
2020-04-11,87,7,22,58
2020-04-12,105,9,22,74
2020-04-13,123,10,26,87
2020-04-14,144,13,34,97
2020-04-15,148,13,34,101
2020-04-16,171,13,34,124
2020-04-17,171,13,34,124
2020-04-18,216,13,41,162
2020-04-19,224,14,42,168
2020-04-20,246,14,56,176
2020-04-21,258,14,57,187
2020-04-22,293,17,73,203
2020-04-23,309,21,77,211
2020-04-24,325,21,87,217
2020-04-25,370,21,91,258
2020-04-26,389,23,112,254
2020-04-27,408,23,113,272
2020-04-28,424,24,122,278
2020-04-29,482,25,129,328
2020-04-30,490,26,135,329
2020-05-01,508,26,196,286
2020-05-02,544,26,206,312
2020-05-03,563,27,213,323
2020-05-04,580,29,223,328
2020-05-05,612,32,228,352
2020-05-06,631,32,261,338
2020-05-07,650,32,271,347
2020-05-08,668,35,285,348
2020-05-09,692,37,298,357
2020-05-10,704,38,351,315
2020-05-11,712,39,377,296
2020-05-12,730,40,398,292
2020-05-13,758,44,412,302
2020-05-14,779,46,436,297
2020-05-15,806,46,455,305
2020-05-16,835,48,479,308
2020-05-17,860,52,494,314
2020-05-18,874,52,512,310
2020-05-19,901,53,529,319
2020-05-20,931,55,543,333
2020-05-21,947,60,558,329
2020-05-22,969,62,560,347
2020-05-23,1015,63,574,378
2020-05-24,1030,65,597,368
2020-05-25,1059,67,604,388
2020-05-26,1077,70,617,390
2020-05-27,1116,70,632,414
2020-05-28,1194,72,652,470
2020-05-29,1226,73,669,484
2020-05-30,1250,76,696,478
2020-05-31,1265,77,716,472
2020-06-01,1315,78,744,493
2020-06-02,1351,78,769,504
2020-06-03,1386,79,788,519
2020-06-04,1461,85,806,570
2020-06-05,1485,87,816,582
2020-06-06,1523,90,845,588
2020-06-07,1533,90,873,570
2020-06-08,1547,92,916,539
2020-06-09,1586,94,931,561
2020-06-10,1667,96,948,623
2020-06-11,1722,97,989,636
2020-06-12,1752,101,1023,628
2020-06-13,1776,104,1058,614
2020-06-14,1809,104,1088,617
2020-06-15,1860,104,1125,631
2020-06-16,1885,104,1145,636
2020-06-17,1890,107,1168,615
2020-06-18,1906,107,1192,607
2020-06-19,1923,108,1217,598
2020-06-20,1933,109,1255,569
2020-06-21,1933,109,1255,569
2020-06-22,1961,111,1266,584
2020-06-23,1978,111,1302,565
2020-06-24,2005,112,1354,539
2020-06-25,2039,113,1383,543
2020-06-26,2060,113,1387,560
2020-06-27,2118,113,1398,607
2020-06-28,2147,114,1432,601
2020-06-29,2173,115,1447,611
2020-06-30,2181,116,1474,591
2020-07-01,2202,116,1483,603
2020-07-02,2260,117,1502,641
2020-07-03,2285,117,1507,661
2020-07-04,2303,118,1516,669
2020-07-05,2330,119,1527,684
2020-07-06,2331,119,1547,665
2020-07-07,2348,119,1556,673
2020-07-08,2358,120,1597,641
2020-07-09,2370,120,1621,629
2020-07-10,2404,121,1650,633
2020-07-11,2406,121,1683,602
2020-07-12,2411,121,1694,596
2020-07-13,2412,121,1730,561
2020-07-14,2423,121,1748,554
2020-07-15,2433,121,1764,548
2020-07-16,2440,121,1777,542
2020-07-17,2467,121,1791,555
