Day,Confirmed,Deaths,Recovered,Active
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,1,0,0,1
2020-03-11,1,0,0,1
2020-03-12,1,0,0,1
2020-03-13,3,1,0,2
2020-03-14,3,1,0,2
2020-03-15,3,1,0,2
2020-03-16,7,1,0,6
2020-03-17,14,2,0,12
2020-03-18,14,2,0,12
2020-03-19,16,2,0,14
2020-03-20,29,3,0,26
2020-03-21,47,3,1,43
2020-03-22,73,3,1,69
2020-03-23,73,3,1,69
2020-03-24,97,3,1,93
2020-03-25,145,5,1,139
2020-03-26,196,5,1,190
2020-03-27,310,5,5,300
2020-03-28,356,9,5,342
2020-03-29,475,10,6,459
2020-03-30,548,13,8,527
2020-03-31,645,17,10,618
2020-04-01,794,20,13,761
2020-04-02,897,22,19,856
2020-04-03,1072,27,22,1023
2020-04-04,1225,32,25,1168
2020-04-05,1308,37,28,1243
2020-04-06,1319,38,28,1253
2020-04-07,1462,45,28,1389
2020-04-08,1668,52,35,1581
2020-04-09,1892,57,45,1790
2020-04-10,2203,69,61,2073
2020-04-11,2511,73,79,2359
2020-04-12,2777,83,89,2605
2020-04-13,3102,93,97,2912
2020-04-14,3372,98,119,3155
2020-04-15,3764,108,143,3513
2020-04-16,4161,116,186,3859
2020-04-17,4662,125,246,4291
2020-04-18,5106,133,275,4698
2020-04-19,5449,141,347,4961
2020-04-20,5710,151,359,5200
2020-04-21,6125,161,367,5597
2020-04-22,6592,174,424,5994
2020-04-23,7170,187,504,6479
2020-04-24,7647,193,601,6853
2020-04-25,8125,201,782,7142
2020-04-26,8617,209,840,7568
2020-04-27,9009,220,864,7925
2020-04-28,9410,239,992,8179
2020-04-29,9866,250,1103,8513
2020-04-30,10406,261,1238,8907
2020-05-01,10861,272,1413,9176
2020-05-02,11411,279,1498,9634
2020-05-03,11913,288,1548,10077
2020-05-04,12331,303,1619,10409
2020-05-05,12697,316,1875,10506
2020-05-06,13184,327,2097,10760
2020-05-07,13691,340,2396,10955
2020-05-08,14195,361,2706,11128
2020-05-09,14710,376,2909,11425
2020-05-10,15232,391,3060,11781
2020-05-11,15648,408,3288,11952
2020-05-12,16023,425,3373,12225
2020-05-13,16425,439,3716,12270
2020-05-14,16847,456,4143,12248
2020-05-15,17330,476,4473,12381
2020-05-16,17858,497,4906,12455
2020-05-17,18291,514,5116,12661
2020-05-18,18616,535,5276,12805
2020-05-19,18876,548,5632,12696
2020-05-20,19230,564,5955,12711
2020-05-21,19706,579,6227,12900
2020-05-22,20148,588,6585,12975
2020-05-23,20580,605,6929,13046
2020-05-24,20986,617,7108,13261
2020-05-25,21245,623,7234,13388
2020-05-26,21584,644,7575,13365
2020-05-27,21905,658,7995,13252
2020-05-28,22382,669,8439,13274
2020-05-29,22811,679,8934,13198
2020-05-30,23204,696,9311,13197
2020-05-31,23672,708,9538,13426
